alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
8,680,2.832508913,761.078,2.881429168,720,804,15.81,31.74,151.85,22.44,162.04,guizhou
9,497,2.696356389,760.3178,2.880995158,718,805,13.38,30.02,145.12,19.69,87.71,guizhou
10,399,2.600972896,760.4508,2.881071121,717,805,6.85,27.08,87.08,15.49,82.75,guizhou
11,295,2.469822016,700.1038,2.845162435,655.975,745,3.17,24.49,22.85,11.62,98.16,guizhou
12,209,2.320146286,488.1722,2.688573044,450,526.025,-1.02,20.56,21.47,6.26,58.34,guizhou
1,200,2.301029996,335.776,2.526049651,306,366,10.47,27.51,42.21,19.33,133.21,hainan
2,254,2.404833717,451.4616,2.654620816,418,485,12.24,30.4,17.94,20.17,130.11,hainan
3,463,2.665580991,509.3882,2.70704888,476,543,16.9,32.51,33.31,23.64,171.09,hainan
4,770,2.886490725,530.3996,2.724603188,498,564,18.73,34.93,84.88,26.05,199.37,hainan
5,851,2.92992956,539.2832,2.731816891,508,571,23.45,35.9,165.83,28.86,247.91,hainan
6,743,2.870988814,548.3234,2.73903678,518,579,24.61,36.32,175.1,29.87,248.96,hainan
7,634,2.802089258,548.588,2.739246303,517.975,579,24.21,36.06,224.57,29.18,227.89,hainan
8,544,2.7355989,539.3,2.73183042,507.975,572,23.84,35.34,325.44,28.74,206.41,hainan
9,434,2.63748973,530.1934,2.724434317,499,564,23.78,34.66,212.34,28.28,197.98,hainan
10,384,2.584331224,508.9664,2.706689113,475,543,20.62,33.02,261.82,26.21,173.76,hainan
11,304,2.482873584,451.1706,2.654340792,419,485,17.42,30.85,90.51,24.13,142.68,hainan
12,247,2.392696953,335.1496,2.525238705,307,366,12.65,28.42,31.21,20.62,110.04,hainan
3,42,1.62324929,105.1314,2.021732448,88,123,-6.32,23.82,6.04,7.33,237.83,hebei
4,161,2.206825876,154.9948,2.190317128,136,175,0.53,31.22,26.18,14.24,256.64,hebei
5,307,2.487138375,167.4514,2.223888783,149,187,7.52,35.13,30.89,20.52,286.17,hebei
6,271,2.432969291,161.5946,2.208426844,144,180,13.45,36.58,63.47,24.6,238.2,hebei
7,186,2.269512944,161.713,2.208744934,143,180,17.57,36.98,145.54,26.33,188,hebei
8,117,2.068185862,167.7216,2.224588997,150,186.025,15.47,34.83,153.11,25.15,202.84,hebei
9,66,1.819543936,155.2864,2.191133422,135,175,8.21,31.98,51,20.48,218.29,hebei
10,29,1.462397998,105.1068,2.021630814,87,123,-0.67,26.7,27.11,12.43,198.05,hebei
3,9,0.954242509,39.5856,1.597537232,29,51,-20.84,15.2,9.74,-2.95,239.29,heilongjiang
4,57,1.755874856,58.2252,1.765110989,46,71,-8.14,24.82,21.27,6.55,237.15,heilongjiang
5,117,2.068185862,57.1852,1.757283644,45,69,0.55,31.25,67.03,14.08,226.1,heilongjiang
6,108,2.033423755,55.1164,1.741280843,44,67,7.74,32.4,118.5,18.83,229.46,heilongjiang
7,57,1.755874856,55.0388,1.740668956,44,67,12.04,33.26,117.66,22.85,249.64,heilongjiang
8,40,1.602059991,57.0258,1.756071387,45,69,9.68,31.19,158.91,20.35,197.93,heilongjiang
9,19,1.278753601,58.1568,1.764600502,46,70,0.59,26.98,82.28,14.51,215.05,heilongjiang
10,13,1.113943352,39.6662,1.598420597,29,51,-8.07,22.22,30.25,4.94,203.65,heilongjiang
2,29,1.462397998,191.3886,2.281916066,167.975,215,-5.54,19.37,20.64,4.97,121.86,henan
3,158,2.198657087,284.3636,2.453874004,256,312,-0.42,26.67,28.62,11.51,157.69,henan
4,491,2.691081492,297.206,2.473057573,270,325,4.12,32.06,55.55,16.89,180.38,henan
5,725,2.860338007,290.1604,2.462638141,264,317,11.17,34.88,77.44,22.24,191.4,henan
6,560,2.748188027,287.9182,2.459269119,262,315,16.58,37.55,137.06,26.22,163.31,henan
7,347,2.540329475,287.5192,2.458666851,261,314,19.83,37.95,176.34,27.74,164.04,henan
8,193,2.285557309,289.4856,2.461626965,263,316,18,36.51,123.19,27.1,169.02,henan
9,103,2.012837225,296.7748,2.472427021,269,324,13.58,34.09,60.79,22.78,141.81,henan
10,60,1.77815125,284.567,2.454184535,258,313,6.07,29.31,78.39,16.08,120.03,henan
11,35,1.544068044,191.6166,2.28243313,168,216,-2.3,23.68,37.65,9.57,103.54,henan
2,74,1.86923172,284.8588,2.45462964,255,316,-2.27,19.86,39.17,6.83,90.42,hubei
3,274,2.437750563,421.631,2.624932534,386,455.025,1.97,26.52,77.03,12.14,117.33,hubei
4,497,2.696356389,440.2994,2.643748094,407,475,6.35,31.63,110.91,17.32,144.72,hubei
5,1114,3.046885191,427.4022,2.630836753,395,461,12.32,33.45,145.51,21.42,140.43,hubei
6,865,2.937016107,420.8338,2.624110614,388,453.025,16.87,35.7,206.96,24.93,124.07,hubei
7,534,2.727541257,421.5404,2.624839203,390,453.025,20.47,37.22,238.79,27.46,194.13,hubei
8,312,2.494154594,421.1208,2.624406693,389,454,19.8,37.5,102.25,28.04,208.21,hubei
9,188,2.274157849,428.0064,2.631450263,395,462,15.5,34.56,99.27,23.23,118,hubei
10,126,2.100370545,440.8328,2.644273901,407,475,8.9,29.56,106.56,17.29,104.2,hubei
11,81,1.908485019,422.1812,2.62549889,388,457,1.68,24.05,60.1,11.65,80.88,hubei
12,52,1.716003344,285.2932,2.45529142,256,315.025,-2.57,17.27,21.96,6.33,79.15,hubei
1,95,1.977723605,348.2816,2.541930531,315.975,381.025,-2.22,18.58,65.16,6.1,52,hunan
2,138,2.139879086,508.2076,2.706041155,470,547,-1.13,24.43,75.67,8.31,78.04,hunan
3,428,2.631443769,543.6256,2.7352999,506,583,3.34,28.57,148.03,12.84,79.38,hunan
4,1016,3.006893708,537.6198,2.730475255,501,574.025,7.61,31.61,142.76,18.11,107.38,hunan
5,1287,3.109578547,532.7166,2.72649623,496,569,13.46,33.46,198.6,22.19,118.43,hunan
6,1032,3.013679697,534.2706,2.727761276,499,570,17.99,35.11,223.19,25.65,122.01,hunan
7,698,2.843855423,534.8184,2.72820634,500,570,21.23,37.62,188.45,28.2,185.62,hunan
8,457,2.6599162,533.31,2.726979727,497.975,568,20.79,37.52,120.58,28.41,209.52,hunan
9,309,2.489958479,538.1168,2.730876551,501,575,16.68,35.7,97.74,24.32,127.41,hunan
10,238,2.376576957,543.7002,2.735359493,506,583,9.76,31.47,79.99,18.34,104.23,hunan
11,187,2.271841607,508.4834,2.706276779,471,547,2.99,26.85,87.96,12.92,81.15,hunan
12,127,2.103803721,348.8494,2.54263798,317,382,-0.94,18.67,56.2,7.67,76.93,hunan
2,17,1.230448921,92.642,1.966807922,76,110,-5.63,18.53,27.76,4.67,134.31,jiangsu
3,112,2.049218023,137.454,2.138157383,118,157,-1.48,24.92,44.33,10.27,183.54,jiangsu
4,284,2.45331834,146.4602,2.165719623,127,166.025,3.83,30.03,56.67,15.78,212.42,jiangsu
5,334,2.523746467,142.6712,2.154336314,124,162,10.93,33.61,78.23,21.03,201.9,jiangsu
6,242,2.383815366,141.235,2.149942334,123,161,16.45,35.59,182.97,24.85,175.8,jiangsu
7,173,2.238046103,143.2566,2.15611464,125,161,20.76,36.85,230.78,27.64,177.02,jiangsu
8,119,2.075546961,140.8834,2.148859824,123,159,19.71,36.08,173.1,27.93,205.51,jiangsu
9,78,1.892094603,142.439,2.153628916,124,162,14.52,32.35,82.96,23.35,174.14,jiangsu
10,52,1.716003344,146.6126,2.166171296,127,166,5.45,28.01,75.63,16.89,154.06,jiangsu
11,34,1.531478917,137.5738,2.138535733,118,157,-1.9,23.7,57.74,10.85,135.56,jiangsu
12,19,1.278753601,92.7722,1.967417856,76,110,-6.1,15.91,33.94,4.44,143.58,jiangsu
1,71,1.851258349,272.362,2.435146515,243.975,302,-1.33,22.35,80.64,7.98,83.06,jiangxi
2,100,2,399.3088,2.601308881,366,433,0.26,25.63,100.09,9.74,92.29,jiangxi
3,310,2.491361694,422.2278,2.625546824,388,456,4.52,28.49,216.48,13.98,84.8,jiangxi
4,785,2.894869657,412.93,2.615876436,380,446,8.65,32.01,185.75,19.48,128.36,jiangxi
5,1030,3.012837225,409.6908,2.612456212,378,442.025,15.59,34.65,246.13,24.18,129.77,jiangxi
6,806,2.906335042,409.658,2.61242144,378,441,19.69,36.09,334.17,26.98,133.05,jiangxi
7,538,2.730782276,410.0082,2.612792543,378.975,443,22.61,37.91,262.31,29.48,203.31,jiangxi
8,350,2.544068044,410.011,2.612795508,378,443,22.48,37.81,121.01,29.74,232.43,jiangxi
9,238,2.376576957,413.2826,2.616247121,381,447,18.2,35.86,107.72,25.99,163.24,jiangxi
10,188,2.274157849,422.5038,2.625830619,388,457,11.41,33.19,59.77,20.77,138.44,jiangxi
11,143,2.155336037,398.951,2.600919558,365,434,5.64,28.2,114.68,15.12,104.33,jiangxi
12,94,1.973127854,272.066,2.434674272,243,301,-0.28,21.37,63.92,9.28,99.38,jiangxi
3,13,1.113943352,51.2512,1.709704038,39,64,-15.7,18.76,13.41,0.61,224.91,jilin
4,77,1.886490725,75.9218,1.880366496,62,90,-6.3,26.83,21.22,9.11,234.74,jilin
5,150,2.176091259,75.7662,1.879475506,62,90,1.67,32.7,88.29,16.08,238.67,jilin
6,136,2.133538908,72.516,1.86043384,59,86,8.86,32.57,97.67,20.21,224.5,jilin
7,97,1.986771734,72.389,1.859672577,59,85.025,13.53,34.12,117.11,23.89,237.15,jilin
8,44,1.643452676,75.4218,1.877496893,62,89,11.39,33.16,175.63,22.17,196.53,jilin
9,22,1.342422681,75.6264,1.878673427,62,90,1.85,28.22,83.37,16.25,222.86,jilin
10,11,1.041392685,51.1076,1.708485487,39,64,-6.56,24.51,26.34,7.47,223.19,jilin
3,17,1.230448921,80.739,1.907083366,65.975,96.025,-10.11,19.43,8.41,3.88,238.49,liaoning
4,118,2.071882007,118.9108,2.075221301,102,136,-2.14,27.08,26.15,11.47,257.35,liaoning
5,229,2.359835482,114.533,2.058930636,98,131,4.87,31.2,78.55,17.98,274.1,liaoning
6,179,2.252853031,111.2712,2.046382772,95,128,11.93,32.7,70.1,22.05,243.03,liaoning
7,104,2.017033339,114.3534,2.058249082,98,131,16.54,35.03,111.29,25.29,219.03,liaoning
8,60,1.77815125,118.6044,2.074100801,102,136,14.2,33.98,205.58,24.38,210.84,liaoning
9,32,1.505149978,80.5882,1.906271456,65,96,6.28,29.65,51.46,19.15,223.42,liaoning
3,12,1.079181246,86.4016,1.936521785,71,103,-19.03,17.99,5.19,-1.5,259.4,neimenggu
4,93,1.968482949,127.659,2.106051438,109,146,-9.27,27.14,13.61,7.39,266.04,neimenggu
5,220,2.342422681,131.6008,2.119258529,114,150,-1.5,33.25,29.98,14.69,287.98,neimenggu
6,228,2.357934847,125.884,2.099970534,109,143,5.98,33.5,54,19.57,267.32,neimenggu
7,169,2.227886705,125.9482,2.100191965,109,143,10.78,34.81,88.06,22.58,259.82,neimenggu
8,124,2.093421685,131.7682,2.119810613,114,150,7.59,33.49,84.43,20.16,246.49,neimenggu
9,68,1.832508913,127.4748,2.105424339,109,146,-0.77,27.78,44.7,14,230.01,neimenggu
10,29,1.462397998,86.2634,1.935826572,71,103,-10.16,23.15,15.1,4.6,230.67,neimenggu
3,17,1.230448921,80.029,1.90324739,65,96,-9,22.62,6.78,5.76,236.96,ningxia
4,91,1.959041392,116.7876,2.067396734,100,134,-2.43,29.82,13.91,13.11,265.71,ningxia
5,204,2.309630167,120.6368,2.081479809,104,138,2.23,32.19,21.74,17.68,284.17,ningxia
6,234,2.369215857,116.9184,2.067882864,101,133,9.73,34,35.67,22.28,271.7,ningxia
7,149,2.173186268,116.8528,2.067639123,101,133.025,13.73,36.66,49.58,24.49,279.67,ningxia
8,96,1.982271233,120.7708,2.081961943,104,138,11.33,34.85,76.02,22.28,236.32,ningxia
9,56,1.748188027,116.9404,2.067964575,100,134,4.82,28.9,35.98,16.85,219.44,ningxia
10,22,1.342422681,80.0642,1.903438369,65,95,-3.34,24.59,21.67,9.24,215.88,ningxia
4,88,1.944482672,120.2782,2.08018692,102,139,-9.91,18.6,20.94,3.45,233.15,qinghai
5,233,2.367355921,180.6292,2.256787958,160,200.025,-4.62,21.4,48.14,7.4,234.38,qinghai
6,314,2.496929648,187.3838,2.272732042,168,207,-0.63,24.1,70.53,11.21,200.22,qinghai
7,258,2.411619706,183.5678,2.263796503,165,203,2.76,25.86,70.17,13.63,233.66,qinghai
8,168,2.225309282,187.2788,2.272488618,167,207,2.4,25.92,75.61,13.49,222.47,qinghai
9,79,1.897627091,180.6946,2.256945174,160,201,-1.79,21.62,55.42,9.11,187.41,qinghai
10,20,1.301029996,120.1676,2.079787387,102,138.025,-9.98,18.44,18.12,2.67,225.14,qinghai
2,42,1.62324929,245.6132,2.390251703,218,274,-8.56,17.67,6.7,2.99,154.77,shaanxi
3,162,2.209515015,365.2524,2.562593078,334,398,-2.28,24.54,21.68,9.78,193.13,shaanxi
4,558,2.746634199,369.3292,2.567413645,339,402,3.66,31.18,52.38,15.75,217.21,shaanxi
5,912,2.959994838,361.337,2.557912435,331,391,8.09,33.82,52.38,19.82,211.68,shaanxi
6,731,2.863917377,356.3192,2.551839225,327,387,14.38,35.48,93.77,23.94,203.52,shaanxi
7,441,2.644438589,356.2642,2.551772183,327,386,17.86,36.99,112.49,26.16,219.12,shaanxi
8,254,2.404833717,360.9816,2.557485066,331,392,16.37,35.91,114.84,25.23,214.79,shaanxi
9,147,2.167317335,369.0494,2.567084504,338,400,11.08,31.21,92.63,19.78,147.59,shaanxi
10,101,2.004321374,364.7576,2.56200435,333,396,3.27,25.18,63.94,13.11,127.34,shaanxi
11,46,1.662757832,245.0962,2.389336578,217,273,-3.83,19.28,24.71,7.04,120.63,shaanxi
2,14,1.146128036,72.8764,1.862586911,59,88,-7.89,16.71,14.07,2.84,165.97,shandong
3,69,1.838849091,108.5164,2.035495378,92,125,-2.97,23.95,10.05,9.39,228.65,shandong
4,172,2.235528447,114.7598,2.059789783,99,132,2.74,29.47,39.1,14.83,232.5,shandong
5,238,2.376576957,112.6706,2.051810607,97,129,9.37,33.69,44.78,20.7,254.53,shandong
6,180,2.255272505,111.3974,2.046875055,96,128,15.28,35.92,78.18,25.09,239.34,shandong
7,116,2.064457989,112.4758,2.051059091,97,129,19.09,36.17,149.7,26.97,210.17,shandong
8,76,1.880813592,114.7252,2.059658823,99,131,17.55,34.69,189.77,26.32,205.48,shandong
9,41,1.612783857,108.5496,2.035628227,92,126,12.2,32.27,27.87,22.47,204.16,shandong
10,23,1.361727836,73.0288,1.863494164,59,88,3.36,27.59,28.66,15.44,169.89,shandong
3,49,1.69019608,109.6338,2.039944467,92,129,-7.43,24.21,7.32,7.07,224.12,shanxi
4,198,2.29666519,162.3818,2.210537351,142,182,-1.33,31.51,32.82,13.62,234.14,shanxi
5,331,2.519827994,172.465,2.236700973,153,192,4.83,34.8,30.82,19.37,252.08,shanxi
6,280,2.447158031,167.7668,2.224706021,149,186,10.74,35.27,49.33,23.13,230.55,shanxi
7,170,2.230448921,167.7724,2.224720517,149,187,14.83,36,107.31,24.67,225.05,shanxi
8,110,2.041392685,172.6942,2.237277752,153,192,12.53,34.26,100.23,23.37,212.99,shanxi
9,59,1.770852012,162.6162,2.211163808,143,183,6.09,30.68,53.68,18,184.04,shanxi
10,28,1.447158031,109.6698,2.040087051,92,128,-2.43,25.88,45.07,10.77,168.98,shanxi
1,108,2.033423755,503.4928,2.701993264,464,543,-7,16.92,8.83,3.47,158.95,sichuan
2,162,2.209515015,733.2092,2.865227906,689,779,-4.86,20.25,11.65,5.77,145.64,sichuan
3,486,2.686636269,780.9416,2.892618558,737,825,-0.95,24.17,25.67,9.89,177.45,sichuan
4,1224,3.087781418,767.1302,2.88486908,723,813,2.98,27.72,61.79,13.48,192.32,sichuan
5,1910,3.281033367,760.6018,2.881157349,717,806,6.86,29.98,99.25,16.78,177.43,sichuan
6,1726,3.237040791,761.9036,2.881900026,719,805.025,9.87,31.18,181.68,19.37,153.66,sichuan
7,1119,3.048830087,761.7458,2.881810068,719,805,12.45,31.35,193.37,20.25,164.68,sichuan
8,688,2.837588438,760.2584,2.880961227,716,805,12.02,32.12,158.92,20.55,186.98,sichuan
9,476,2.677606953,766.7496,2.884653558,721,812,9.87,28.89,160.62,17.32,113.39,sichuan
10,340,2.531478917,781.0296,2.892667493,734,827,4.03,25.33,77.43,13.2,133.23,sichuan
11,229,2.359835482,733.2228,2.865235961,687.975,779,-1.24,21.56,17.69,8.56,153.65,sichuan
12,146,2.164352856,503.7146,2.702184539,466,543,-5.5,16.67,8.28,4.16,155.58,sichuan
4,64,1.806179974,90.0926,1.95468912,74,106.025,1.33,30.23,8.49,15.54,256.72,xinjiang
5,178,2.250420002,135.1502,2.130816693,117,153,5.56,33.42,12.97,19.79,288.86,xinjiang
6,220,2.342422681,141.4466,2.150592513,125,158,11.27,36.67,17.07,24.77,284.06,xinjiang
7,169,2.227886705,143.511,2.156885191,129,159,14.9,39.18,15.07,26.88,297.67,xinjiang
8,137,2.136720567,141.3644,2.150340054,125,158,12.55,37.15,14.59,24.9,274.52,xinjiang
9,75,1.875061263,135.3062,2.131317697,117,153,5.5,32.59,16.07,18.87,254.43,xinjiang
10,34,1.531478917,90.129,1.954864553,74,106,-3.38,25.11,5.29,9.95,227.76,xinjiang
1,76,1.880813592,293.176,2.467128415,264,324,-16.55,11.35,6.21,-3.38,216.37,xizang
2,91,1.959041392,421.8068,2.625113577,388,457,-13.9,13.7,8.88,-0.53,190.68,xizang
3,231,2.36361198,450.1414,2.653348957,416,484,-10.58,16.79,17.07,2.16,213.36,xizang
4,548,2.738780558,444.974,2.648334636,412,478,-5.26,18.79,31.16,6,207.6,xizang
5,904,2.95616843,444.034,2.647416226,413,476,-1.3,22.1,39.79,9.82,225,xizang
6,928,2.967547976,442.6918,2.646101478,411,475,2.52,25.17,64.31,13.92,208.93,xizang
7,677,2.830588669,443.4744,2.646868555,411,477,6.26,25.53,114.18,14.5,179.08,xizang
8,449,2.652246341,444.589,2.647958713,411,478,5.83,25.26,93.9,14.39,197.95,xizang
9,298,2.474216264,450.204,2.653409349,417,484,3.11,23.6,61.03,12.66,191.56,xizang
10,214,2.330413773,421.7866,2.625092778,388,456,-5.01,20.72,16.21,7.44,230.73,xizang
11,134,2.127104798,293.122,2.467048415,263,324,-9.71,15.62,4.13,2,225.12,xizang
1,353,2.547774705,895.1266,2.951884463,844,946,-0.76,20.78,41.67,9.05,223,yunnan
2,499,2.698100546,1262.6848,3.101294953,1206,1320,1.12,23.13,12.73,10.84,215.77,yunnan
3,1078,3.032618761,1364.5984,3.135004858,1304.975,1424,3.89,26.34,23.43,14,242.49,yunnan
4,2074,3.316808752,1370.134,3.136763044,1312,1428,7.2,28.01,61.91,16.39,208.21,yunnan
5,2795,3.446381812,1370.4794,3.136872512,1314,1426,10.21,29.81,75.21,19.18,211.53,yunnan
6,2476,3.39375064,1373.091,3.137699321,1316.975,1428,14.06,29.99,150.15,20.67,145.62,yunnan
7,1788,3.252367514,1373.228,3.13774265,1317,1430,15.1,29.15,274.49,20.08,108.89,yunnan
8,1317,3.119585775,1370.785,3.136969343,1315,1426.025,14.9,29.72,245.47,20.23,124.21,yunnan
9,1028,3.011993115,1370.9642,3.137026114,1314,1430,13.56,28.16,145.9,19.4,127.56,yunnan
10,794,2.899820502,1366.0464,3.135465451,1308,1426,8.49,26.55,96.87,16.65,164.46,yunnan
11,613,2.787460475,1263.1948,3.101470329,1205,1322,3.65,23.82,31.79,12.93,212.88,yunnan
12,461,2.663700925,895.6674,2.952146767,844,948,0.1,20.96,14.95,9.85,211.19,yunnan
2,50,1.698970004,221.6158,2.34560072,195.975,249,0.04,22.99,80.23,8.73,99.08,zhejiang
3,206,2.31386722,330.3864,2.519022162,300,361,3.41,25.7,129.57,12.48,113.84,zhejiang
4,603,2.780317312,336.6842,2.527222736,306,366,7.62,29.96,122.88,17.31,139.81,zhejiang
5,800,2.903089987,325.4914,2.512539518,297,355,13.55,32.7,138.45,21.88,135.03,zhejiang
6,637,2.804139432,320.714,2.506117918,291,351,17.94,35.71,242.46,24.97,98.95,zhejiang
7,415,2.618048097,323.644,2.51006756,296,353,22.47,37.54,167.82,28.43,183.9,zhejiang
8,259,2.413299764,321.1214,2.506669249,293,350,22.57,37.35,215.23,29.02,207.93,zhejiang
9,153,2.184691431,325.4004,2.512418082,296,355,18.5,34.72,202.6,25.33,137.81,zhejiang
10,121,2.08278537,336.4338,2.526899621,308,367,12.24,31.3,89.89,20.8,129.34,zhejiang
11,93,1.968482949,329.9592,2.518460242,300,361,6.6,27.29,98,15.95,88.47,zhejiang
12,56,1.748188027,221.5494,2.345470578,196,248,0.5,21.39,75.33,10.34,89.74,zhejiang
