alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
8,1394,3.144262774,887.0066,2.947926851,845,930,23.49,36.62,306.82,28.58,182.64,guangxi
9,1209,3.082426301,873.4108,2.941218558,830,919,21.63,35.73,158.09,27.63,182.28,guangxi
10,910,2.959041392,840.4346,2.924503924,796,885,16.64,33.3,82.97,24.44,177.2,guangxi
11,524,2.719331287,726.6704,2.86133747,683,771,11.79,30.48,49.65,20.7,149.25,guangxi
12,272,2.434568904,526.4624,2.721367359,487,565,6.18,26.93,36.36,15.95,134.29,guangxi
3,236,2.372912003,594.5748,2.774206498,554,636,3.21,27.76,45.47,11.97,96.31,guizhou
4,643,2.808210973,843.6598,2.926167356,797,891,6.93,30.7,78.52,16.3,130.11,guizhou
5,1033,3.014100322,977.8298,2.990263269,933,1024,11.6,30.79,147.73,19.22,127.05,guizhou
6,1318,3.11991541,1017.2318,3.007419928,974,1061,14.36,30.86,245.77,21.46,97.31,guizhou
7,1528,3.184123354,1042.1936,3.017948402,1001,1083,16.68,31.67,171.79,22.82,150.78,guizhou
8,1557,3.192288613,1042.1654,3.01793665,1002,1084,15.81,31.74,151.85,22.44,162.04,guizhou
9,1230,3.089905111,1017.4144,3.00749788,974,1063,13.38,30.02,145.12,19.69,87.71,guizhou
10,825,2.916453949,978.3894,2.990511739,932,1026,6.85,27.08,87.08,15.49,82.75,guizhou
11,421,2.624282096,844.2924,2.92649288,798,891,3.17,24.49,22.85,11.62,98.16,guizhou
12,162,2.209515015,595.2486,2.774698383,554,636,-1.02,20.56,21.47,6.26,58.34,guizhou
1,122,2.086359831,254.2488,2.405258912,229,280.025,10.47,27.51,42.21,19.33,133.21,hainan
2,152,2.181843588,339.673,2.531061027,312,368,12.24,30.4,17.94,20.17,130.11,hainan
3,220,2.342422681,396.5176,2.598262469,367,426,16.9,32.51,33.31,23.64,171.09,hainan
4,346,2.539076099,420.8828,2.624161178,393,450,18.73,34.93,84.88,26.05,199.37,hainan
5,431,2.63447727,430.4404,2.633913026,402,458.025,23.45,35.9,165.83,28.86,247.91,hainan
6,535,2.728353782,443.8586,2.647244639,417,470,24.61,36.32,175.1,29.87,248.96,hainan
7,578,2.761927838,444.1772,2.647556262,418,471,24.21,36.06,224.57,29.18,227.89,hainan
8,612,2.786751422,430.8312,2.634307147,403,459,23.84,35.34,325.44,28.74,206.41,hainan
9,567,2.753583059,421.0826,2.624367296,392,450,23.78,34.66,212.34,28.28,197.98,hainan
10,477,2.678518379,396.7982,2.598569693,367,427,20.62,33.02,261.82,26.21,173.76,hainan
11,339,2.530199698,339.4732,2.530805494,311,369,17.42,30.85,90.51,24.13,142.68,hainan
12,193,2.285557309,254.0164,2.404861757,228,280,12.65,28.42,31.21,20.62,110.04,hainan
4,181,2.257678575,476.5006,2.678063452,441,512,0.53,31.22,26.18,14.24,256.64,hebei
5,505,2.703291378,715.8392,2.854815477,678,754,7.52,35.13,30.89,20.52,286.17,hebei
6,949,2.977266212,833.912,2.921120223,798,870.025,13.45,36.58,63.47,24.6,238.2,hebei
7,1238,3.092720645,852.3172,2.930601253,820,885,17.57,36.98,145.54,26.33,188,hebei
8,1092,3.038222638,834.7454,2.921554034,800,869,15.47,34.83,153.11,25.15,202.84,hebei
9,690,2.838849091,716.6174,2.855287349,677,755,8.21,31.98,51,20.48,218.29,hebei
10,252,2.401400541,477.0682,2.678580469,442,513,-0.67,26.7,27.11,12.43,198.05,hebei
4,112,2.049218023,317.9368,2.502340799,288,346,-8.14,24.82,21.27,6.55,237.15,heilongjiang
5,347,2.540329475,478.5228,2.679902635,447,510,0.55,31.25,67.03,14.08,226.1,heilongjiang
6,645,2.809559715,554.7496,2.744096998,526,585,7.74,32.4,118.5,18.83,229.46,heilongjiang
7,829,2.918554531,573.4016,2.7584589,547,601,12.04,33.26,117.66,22.85,249.64,heilongjiang
8,733,2.865103975,555.3824,2.744592113,526,585,9.68,31.19,158.91,20.35,197.93,heilongjiang
9,461,2.663700925,478.8632,2.680211463,447,510,0.59,26.98,82.28,14.51,215.05,heilongjiang
10,150,2.176091259,318.1436,2.502623191,290,348,-8.07,22.22,30.25,4.94,203.65,heilongjiang
3,106,2.025305865,450.5318,2.65372545,414,487.025,-0.42,26.67,28.62,11.51,157.69,henan
4,372,2.57054294,650.7048,2.81338401,610,690,4.12,32.06,55.55,16.89,180.38,henan
5,738,2.868056362,768.4962,2.885641724,729,808,11.17,34.88,77.44,22.24,191.4,henan
6,1066,3.027757205,807.7264,2.907264278,770,845,16.58,37.55,137.06,26.22,163.31,henan
7,1270,3.103803721,808.5476,2.907705592,775,843.025,19.83,37.95,176.34,27.74,164.04,henan
8,1191,3.075911761,808.4228,2.907638553,772,845,18,36.51,123.19,27.1,169.02,henan
9,838,2.923244019,769.0302,2.885943395,729.975,809,13.58,34.09,60.79,22.78,141.81,henan
10,440,2.643452676,651.0046,2.813584057,612,690.025,6.07,29.31,78.39,16.08,120.03,henan
11,144,2.158362492,450.5356,2.653729113,415,486,-2.3,23.68,37.65,9.57,103.54,henan
3,147,2.167317335,467.3372,2.669630352,430,504,1.97,26.52,77.03,12.14,117.33,hubei
4,520,2.716003344,682.069,2.833828311,642,724,6.35,31.63,110.91,17.32,144.72,hubei
5,824,2.915927212,779.2806,2.891693865,739,819,12.32,33.45,145.51,21.42,140.43,hubei
6,1058,3.024485668,791.5024,2.898452236,751,831,16.87,35.7,206.96,24.93,124.07,hubei
7,1207,3.08170727,785.2894,2.895029735,748,823,20.47,37.22,238.79,27.46,194.13,hubei
8,1141,3.057285644,791.5214,2.898462661,755,831,19.8,37.5,102.25,28.04,208.21,hubei
9,786,2.895422546,779.361,2.891738669,738,820,15.5,34.56,99.27,23.23,118,hubei
10,398,2.599883072,682.1908,2.833905858,641,723.025,8.9,29.56,106.56,17.29,104.2,hubei
11,145,2.161368002,467.4482,2.669733492,432,505,1.68,24.05,60.1,11.65,80.88,hubei
3,180,2.255272505,431.7764,2.635258901,398,468,3.34,28.57,148.03,12.84,79.38,hunan
4,514,2.710963119,611.3082,2.786260221,573,650,7.61,31.61,142.76,18.11,107.38,hunan
5,799,2.902546779,717.572,2.855865484,678,756,13.46,33.46,198.6,22.19,118.43,hunan
6,1013,3.005609445,758.9724,2.880225983,722.975,796,17.99,35.11,223.19,25.65,122.01,hunan
7,1121,3.049605613,779.4662,2.891797288,744,815,21.23,37.62,188.45,28.2,185.62,hunan
8,1106,3.043755127,779.747,2.891953713,744.975,814,20.79,37.52,120.58,28.41,209.52,hunan
9,892,2.950364854,758.8458,2.880153535,721,796,16.68,35.7,97.74,24.32,127.41,hunan
10,577,2.761175813,716.9984,2.855518187,678,756,9.76,31.47,79.99,18.34,104.23,hunan
11,278,2.444044796,610.8604,2.785941972,573,649,2.99,26.85,87.96,12.92,81.15,hunan
12,117,2.068185862,431.4532,2.634933694,397,467,-0.94,18.67,56.2,7.67,76.93,hunan
3,88,1.944482672,256.5258,2.409131051,230,283,-1.48,24.92,44.33,10.27,183.54,jiangsu
4,270,2.431363764,369.929,2.568118378,341,399.025,3.83,30.03,56.67,15.78,212.42,jiangsu
5,453,2.656098202,437.6028,2.641080092,408,466.025,10.93,33.61,78.23,21.03,201.9,jiangsu
6,581,2.764176132,472.5198,2.674420011,446,499,16.45,35.59,182.97,24.85,175.8,jiangsu
7,644,2.808885867,473.9812,2.675761116,450,499,20.76,36.85,230.78,27.64,177.02,jiangsu
8,630,2.799340549,472.3738,2.674285802,446,499,19.71,36.08,173.1,27.93,205.51,jiangsu
9,487,2.687528961,437.7602,2.641236274,409,467,14.52,32.35,82.96,23.35,174.14,jiangsu
10,285,2.45484486,370.2766,2.568526267,341,400,5.45,28.01,75.63,16.89,154.06,jiangsu
11,110,2.041392685,257.0308,2.409985168,230,284,-1.9,23.7,57.74,10.85,135.56,jiangsu
3,178,2.250420002,425.0748,2.628465359,391,459,4.52,28.49,216.48,13.98,84.8,jiangxi
4,492,2.691965103,601.634,2.779332371,563,639,8.65,32.01,185.75,19.48,128.36,jiangxi
5,763,2.882524538,705.7554,2.84865421,667,744,15.59,34.65,246.13,24.18,129.77,jiangxi
6,958,2.981365509,745.84,2.872645671,709,784,19.69,36.09,334.17,26.98,133.05,jiangxi
7,1076,3.031812271,768.5894,2.885694391,734,803,22.61,37.91,262.31,29.48,203.31,jiangxi
8,1113,3.046495164,768.6024,2.885701736,734,803.025,22.48,37.81,121.01,29.74,232.43,jiangxi
9,905,2.956648579,745.474,2.872432501,708,783,18.2,35.86,107.72,25.99,163.24,jiangxi
10,600,2.77815125,704.718,2.848015364,667,742,11.41,33.19,59.77,20.77,138.44,jiangxi
11,300,2.477121255,600.8698,2.778780377,563.975,639,5.64,28.2,114.68,15.12,104.33,jiangxi
12,106,2.025305865,424.4422,2.627818557,390,459,-0.28,21.37,63.92,9.28,99.38,jiangxi
4,112,2.049218023,332.557,2.521866094,303,363,-6.3,26.83,21.22,9.11,234.74,jilin
5,345,2.537819095,505.0838,2.703363439,473,537,1.67,32.7,88.29,16.08,238.67,jilin
6,651,2.813580989,569.2084,2.7552713,538,601,8.86,32.57,97.67,20.21,224.5,jilin
7,895,2.951823035,563.8668,2.751176524,535,593,13.53,34.12,117.11,23.89,237.15,jilin
8,787,2.895974732,568.5728,2.75478608,539,599,11.39,33.16,175.63,22.17,196.53,jilin
9,440,2.643452676,505.5326,2.703749167,473,538,1.85,28.22,83.37,16.25,222.86,jilin
10,148,2.170261715,333.1786,2.522677099,304,364,-6.56,24.51,26.34,7.47,223.19,jilin
4,121,2.08278537,343.3266,2.535707453,314,375,-2.14,27.08,26.15,11.47,257.35,liaoning
5,385,2.58546073,518.9702,2.715142421,486,552,4.87,31.2,78.55,17.98,274.1,liaoning
6,660,2.819543936,578.5088,2.76230997,547,609,11.93,32.7,70.1,22.05,243.03,liaoning
7,887,2.94792362,587.3768,2.768916789,559,617,16.54,35.03,111.29,25.29,219.03,liaoning
8,797,2.901458321,578.3406,2.762183681,547,609,14.2,33.98,205.58,24.38,210.84,liaoning
9,465,2.667452953,518.0394,2.714362792,485,551,6.28,29.65,51.46,19.15,223.42,liaoning
10,152,2.181843588,342.4376,2.534581445,313,374,-2.75,25.33,33.11,10.93,216.6,liaoning
5,389,2.589949601,563.6356,2.750998416,526,600,-1.5,33.25,29.98,14.69,287.98,neimenggu
6,972,2.987666265,860.4582,2.934729778,821,900,5.98,33.5,54,19.57,267.32,neimenggu
7,1435,3.156851901,977.8746,2.990283166,943,1012,10.78,34.81,88.06,22.58,259.82,neimenggu
8,1214,3.084218687,978.1414,2.990401641,943,1014,7.59,33.49,84.43,20.16,246.49,neimenggu
9,641,2.80685803,860.5372,2.934769649,821,900,-0.77,27.78,44.7,14,230.01,neimenggu
10,153,2.184691431,563.353,2.750780611,526,601,-10.16,23.15,15.1,4.6,230.67,neimenggu
4,79,1.897627091,275.7618,2.440534105,248,303,-2.43,29.82,13.91,13.11,265.71,ningxia
5,304,2.482873584,412.454,2.61537552,383,442,2.23,32.19,21.74,17.68,284.17,ningxia
6,603,2.780317312,472.2896,2.674208382,445,499,9.73,34,35.67,22.28,271.7,ningxia
7,776,2.889861721,487.3844,2.687871624,463,512,13.73,36.66,49.58,24.49,279.67,ningxia
8,608,2.783903579,472.0152,2.673955984,445,500,11.33,34.85,76.02,22.28,236.32,ningxia
9,326,2.5132176,412.299,2.615212281,383,441.025,4.82,28.9,35.98,16.85,219.44,ningxia
10,112,2.049218023,275.796,2.440587963,249,303,-3.34,24.59,21.67,9.24,215.88,ningxia
5,317,2.501059262,688.5084,2.837909243,647,730,-4.62,21.4,48.14,7.4,234.38,qinghai
6,1128,3.0523091,1046.7494,3.019842721,1003,1089,-0.63,24.1,70.53,11.21,200.22,qinghai
7,1856,3.268577972,1219.6794,3.086245689,1180,1258,2.76,25.86,70.17,13.63,233.66,qinghai
8,1644,3.215901813,1219.7448,3.086268975,1181,1258,2.4,25.92,75.61,13.49,222.47,qinghai
9,840,2.924279286,1047.0832,3.019981192,1004,1090,-1.79,21.62,55.42,9.11,187.41,qinghai
10,126,2.100370545,689.2348,2.838367197,648,732,-9.98,18.44,18.12,2.67,225.14,qinghai
4,373,2.571708832,668.4508,2.825069447,627,710,3.66,31.18,52.38,15.75,217.21,shaanxi
5,785,2.894869657,1005.7402,3.002485809,961,1052,8.09,33.82,52.38,19.82,211.68,shaanxi
6,1246,3.095518042,1126.6464,3.051787633,1084,1169,14.38,35.48,93.77,23.94,203.52,shaanxi
7,1602,3.204662512,1144.628,3.058664365,1106,1184,17.86,36.99,112.49,26.16,219.12,shaanxi
8,1469,3.167021796,1127.4954,3.052114779,1086,1169,16.37,35.91,114.84,25.23,214.79,shaanxi
9,908,2.958085849,1006.8546,3.002966759,962.975,1051,11.08,31.21,92.63,19.78,147.59,shaanxi
10,366,2.563481085,669.1846,2.825545938,628,711,3.27,25.18,63.94,13.11,127.34,shaanxi
3,50,1.698970004,248.1232,2.394667374,223,274,-2.97,23.95,10.05,9.39,228.65,shandong
4,185,2.267171728,356.6594,2.552253675,329,385,2.74,29.47,39.1,14.83,232.5,shandong
5,386,2.586587305,425.737,2.629141396,397,454,9.37,33.69,44.78,20.7,254.53,shandong
6,609,2.784617293,460.843,2.663552995,435,487,15.28,35.92,78.18,25.09,239.34,shandong
7,731,2.863917377,465.3338,2.667764599,441,491,19.09,36.17,149.7,26.97,210.17,shandong
8,674,2.828659897,461.471,2.664144414,435,487,17.55,34.69,189.77,26.32,205.48,shandong
9,482,2.683047038,426.1078,2.629519484,399,455,12.2,32.27,27.87,22.47,204.16,shandong
10,252,2.401400541,356.628,2.552215438,328,385,3.36,27.59,28.66,15.44,169.89,shandong
11,80,1.903089987,248.0968,2.394621163,222,274,-4.12,21.53,33.16,8.35,137.38,shandong
4,154,2.187520721,392.384,2.59371129,361,424,-1.33,31.51,32.82,13.62,234.14,shanxi
5,445,2.648360011,587.9156,2.769314984,554,622,4.83,34.8,30.82,19.37,252.08,shanxi
6,783,2.893761762,696.6598,2.843020751,666,728,10.74,35.27,49.33,23.13,230.55,shanxi
7,999,2.999565488,723.085,2.859189352,695,751,14.83,36,107.31,24.67,225.05,shanxi
8,900,2.954242509,696.7466,2.843074858,665.975,728,12.53,34.26,100.23,23.37,212.99,shanxi
9,578,2.761927838,587.8594,2.769273467,555,621,6.09,30.68,53.68,18,184.04,shanxi
10,218,2.338456494,392.3496,2.593673214,361,424,-2.43,25.88,45.07,10.77,168.98,shanxi
4,794,2.899820502,1487.0566,3.172327499,1425,1549,2.98,27.72,61.79,13.48,192.32,sichuan
5,1679,3.225050696,2167.4442,3.335947926,2098,2236,6.86,29.98,99.25,16.78,177.43,sichuan
6,2871,3.458033192,2479.4886,3.394362116,2411,2545,9.87,31.18,181.68,19.37,153.66,sichuan
7,3988,3.60075515,2522.428,3.401818779,2456,2587,12.45,31.35,193.37,20.25,164.68,sichuan
8,3836,3.583878598,2522.6442,3.401856001,2460,2586,12.02,32.12,158.92,20.55,186.98,sichuan
9,2482,3.394801777,2478.0714,3.394113815,2411.975,2544,9.87,28.89,160.62,17.32,113.39,sichuan
10,1203,3.080265627,2166.1534,3.335689209,2096,2236,4.03,25.33,77.43,13.2,133.23,sichuan
11,457,2.6599162,1486.7136,3.172227314,1422.975,1550.025,-1.24,21.56,17.69,8.56,153.65,sichuan
4,194,2.28780173,630.6864,2.799813466,590,673,1.33,30.23,8.49,15.54,256.72,xinjiang
5,704,2.847572659,944.5774,2.97523755,900,990,5.56,33.42,12.97,19.79,288.86,xinjiang
6,1469,3.167021796,1076.2108,3.031897346,1032,1119,11.27,36.67,17.07,24.77,284.06,xinjiang
7,1802,3.255754787,1084.8136,3.035355121,1045,1125,14.9,39.18,15.07,26.88,297.67,xinjiang
8,1412,3.149834697,1076.4436,3.03199128,1033,1120,12.55,37.15,14.59,24.9,274.52,xinjiang
9,649,2.812244697,944.8688,2.975371509,899,992,5.5,32.59,16.07,18.87,254.43,xinjiang
10,158,2.198657087,630.3994,2.799615791,588,672,-3.38,25.11,5.29,9.95,227.76,xinjiang
4,278,2.444044796,938.4128,2.972393923,887,991,-5.26,18.79,31.16,6,207.6,xizang
5,782,2.893206753,1365.4046,3.135261362,1307,1423,-1.3,22.1,39.79,9.82,225,xizang
6,1852,3.267640982,1542.4988,3.188224835,1488,1597,2.52,25.17,64.31,13.92,208.93,xizang
7,2738,3.437433444,1536.1638,3.186437527,1482,1590,6.26,25.53,114.18,14.5,179.08,xizang
8,2685,3.42894429,1536.004,3.186392347,1484.975,1589,5.83,25.26,93.9,14.39,197.95,xizang
9,1588,3.200850498,1542.6374,3.188263856,1487,1597,3.11,23.6,61.03,12.66,191.56,xizang
10,628,2.797959644,1365.8236,3.135394613,1309,1423,-5.01,20.72,16.21,7.44,230.73,xizang
11,215,2.33243846,939.055,2.972691029,887,991,-9.71,15.62,4.13,2,225.12,xizang
3,549,2.739572344,1400.2286,3.146198944,1335,1464,3.89,26.34,23.43,14,242.49,yunnan
4,1071,3.029789471,1973.396,3.295214244,1902,2042,7.2,28.01,61.91,16.39,208.21,yunnan
5,1895,3.277609214,2256.9158,3.353515357,2186,2326,10.21,29.81,75.21,19.18,211.53,yunnan
6,2875,3.458637849,2294.894,3.36076263,2227,2365,14.06,29.99,150.15,20.67,145.62,yunnan
7,3877,3.588495801,2302.7604,3.362248752,2239,2367,15.1,29.15,274.49,20.08,108.89,yunnan
8,3999,3.601951404,2302.7362,3.362244188,2237,2366,14.9,29.72,245.47,20.23,124.21,yunnan
9,2984,3.474798819,2295.7056,3.360916194,2228,2363,13.56,28.16,145.9,19.4,127.56,yunnan
10,1837,3.264109156,2258.0754,3.353738439,2188,2329,8.49,26.55,96.87,16.65,164.46,yunnan
11,937,2.971739591,1973.893,3.295323607,1906,2045,3.65,23.82,31.79,12.93,212.88,yunnan
12,435,2.638489257,1400.395,3.146250551,1337,1463,0.1,20.96,14.95,9.85,211.19,yunnan
3,142,2.152288344,406.6042,2.60917186,373,440,3.41,25.7,129.57,12.48,113.84,zhejiang
4,450,2.653212514,589.402,2.770411605,552,627,7.62,29.96,122.88,17.31,139.81,zhejiang
5,697,2.843232778,682.085,2.833838499,644,719,13.55,32.7,138.45,21.88,135.03,zhejiang
6,825,2.916453949,723.6498,2.859528446,690,758,17.94,35.71,242.46,24.97,98.95,zhejiang
7,916,2.961895474,722.1768,2.858643533,689,755,22.47,37.54,167.82,28.43,183.9,zhejiang
8,942,2.974050903,723.8802,2.859666698,690,758,22.57,37.35,215.23,29.02,207.93,zhejiang
9,808,2.907411361,681.6,2.833529582,645,719,18.5,34.72,202.6,25.33,137.81,zhejiang
10,529,2.723455672,589.0424,2.770146557,552,627,12.24,31.3,89.89,20.8,129.34,zhejiang
11,216,2.334453751,406.5596,2.60912422,374,441,6.6,27.29,98,15.95,88.47,zhejiang
