alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
11,304,2.482873584,451.1706,2.654340792,419,485,17.42,30.85,90.51,24.13,142.68,hainan
12,247,2.392696953,335.1496,2.525238705,307,366,12.65,28.42,31.21,20.62,110.04,hainan
3,42,1.62324929,105.1314,2.021732448,88,123,-6.32,23.82,6.04,7.33,237.83,hebei
4,161,2.206825876,154.9948,2.190317128,136,175,0.53,31.22,26.18,14.24,256.64,hebei
5,307,2.487138375,167.4514,2.223888783,149,187,7.52,35.13,30.89,20.52,286.17,hebei
6,271,2.432969291,161.5946,2.208426844,144,180,13.45,36.58,63.47,24.6,238.2,hebei
7,186,2.269512944,161.713,2.208744934,143,180,17.57,36.98,145.54,26.33,188,hebei
8,117,2.068185862,167.7216,2.224588997,150,186.025,15.47,34.83,153.11,25.15,202.84,hebei
9,66,1.819543936,155.2864,2.191133422,135,175,8.21,31.98,51,20.48,218.29,hebei
10,29,1.462397998,105.1068,2.021630814,87,123,-0.67,26.7,27.11,12.43,198.05,hebei
4,57,1.755874856,44.61,1.649432223,33,56,-8.14,24.82,21.27,6.55,237.15,heilongjiang
5,117,2.068185862,65.4246,1.815741076,53,78,0.55,31.25,67.03,14.08,226.1,heilongjiang
6,108,2.033423755,64.0336,1.806407919,52,76,7.74,32.4,118.5,18.83,229.46,heilongjiang
7,57,1.755874856,62.7436,1.797569433,51,75,12.04,33.26,117.66,22.85,249.64,heilongjiang
8,40,1.602059991,64.1812,1.807407833,52,76,9.68,31.19,158.91,20.35,197.93,heilongjiang
9,19,1.278753601,65.452,1.815922922,53,78.025,0.59,26.98,82.28,14.51,215.05,heilongjiang
10,13,1.113943352,44.555,1.648896448,33,57,-8.07,22.22,30.25,4.94,203.65,heilongjiang
3,158,2.198657087,234.7974,2.370693283,209,261,-0.42,26.67,28.62,11.51,157.69,henan
4,491,2.691081492,350.6242,2.544841888,321.975,381,4.12,32.06,55.55,16.89,180.38,henan
5,725,2.860338007,372.406,2.571016669,345,400,11.17,34.88,77.44,22.24,191.4,henan
6,560,2.748188027,360.6826,2.557125192,334,389,16.58,37.55,137.06,26.22,163.31,henan
7,347,2.540329475,360.8942,2.557379902,334,388,19.83,37.95,176.34,27.74,164.04,henan
8,193,2.285557309,372.2324,2.570814172,344,401,18,36.51,123.19,27.1,169.02,henan
9,103,2.012837225,350.5312,2.54472668,321,380,13.58,34.09,60.79,22.78,141.81,henan
10,60,1.77815125,234.832,2.370757277,208,262,6.07,29.31,78.39,16.08,120.03,henan
3,274,2.437750563,378.9494,2.578581224,347,412,1.97,26.52,77.03,12.14,117.33,hubei
4,497,2.696356389,565.187,2.752192164,529,602,6.35,31.63,110.91,17.32,144.72,hubei
5,1114,3.046885191,589.4748,2.770465244,555,625,12.32,33.45,145.51,21.42,140.43,hubei
6,865,2.937016107,570.5186,2.756269808,536,605,16.87,35.7,206.96,24.93,124.07,hubei
7,534,2.727541257,570.5078,2.756261586,537,605,20.47,37.22,238.79,27.46,194.13,hubei
8,312,2.494154594,589.0796,2.770173983,553,624,19.8,37.5,102.25,28.04,208.21,hubei
9,188,2.274157849,564.7314,2.751841936,528,602,15.5,34.56,99.27,23.23,118,hubei
10,126,2.100370545,378.5514,2.578124857,346,412,8.9,29.56,106.56,17.29,104.2,hubei
2,138,2.139879086,375.7908,2.574946144,342,409.025,-1.13,24.43,75.67,8.31,78.04,hunan
3,428,2.631443769,549.4234,2.739907152,511,588,3.34,28.57,148.03,12.84,79.38,hunan
4,1016,3.006893708,589.4086,2.770416468,550,627,7.61,31.61,142.76,18.11,107.38,hunan
5,1287,3.109578547,578.5994,2.762377979,541,617,13.46,33.46,198.6,22.19,118.43,hunan
6,1032,3.013679697,576.4246,2.760742507,540,614,17.99,35.11,223.19,25.65,122.01,hunan
7,698,2.843855423,577.2294,2.761348443,541,613.025,21.23,37.62,188.45,28.2,185.62,hunan
8,457,2.6599162,576.6624,2.760921635,540,614,20.79,37.52,120.58,28.41,209.52,hunan
9,309,2.489958479,579.1822,2.762815206,542,618,16.68,35.7,97.74,24.32,127.41,hunan
10,238,2.376576957,589.7484,2.770666771,552,627,9.76,31.47,79.99,18.34,104.23,hunan
11,187,2.271841607,548.8944,2.7394888,511,587,2.99,26.85,87.96,12.92,81.15,hunan
12,127,2.103803721,375.6364,2.57476767,342,409,-0.94,18.67,56.2,7.67,76.93,hunan
3,112,2.049218023,111.5916,2.047631505,93,130,-1.48,24.92,44.33,10.27,183.54,jiangsu
4,284,2.45331834,164.7098,2.21671944,144,186,3.83,30.03,56.67,15.78,212.42,jiangsu
5,334,2.523746467,176.9382,2.247821605,157,197,10.93,33.61,78.23,21.03,201.9,jiangsu
6,242,2.383815366,174.3652,2.241459812,155,194,16.45,35.59,182.97,24.85,175.8,jiangsu
7,173,2.238046103,173.3768,2.238990983,155,192,20.76,36.85,230.78,27.64,177.02,jiangsu
8,119,2.075546961,174.1678,2.240967866,155,194,19.71,36.08,173.1,27.93,205.51,jiangsu
9,78,1.892094603,176.7238,2.247295041,157,197,14.52,32.35,82.96,23.35,174.14,jiangsu
10,52,1.716003344,164.6248,2.21649526,144,185,5.45,28.01,75.63,16.89,154.06,jiangsu
11,34,1.531478917,111.502,2.047282657,93,130,-1.9,23.7,57.74,10.85,135.56,jiangsu
2,100,2,293.417,2.467485272,263,324,0.26,25.63,100.09,9.74,92.29,jiangxi
3,310,2.491361694,431.4076,2.634887792,398,466,4.52,28.49,216.48,13.98,84.8,jiangxi
4,785,2.894869657,456.057,2.659019126,421.975,490,8.65,32.01,185.75,19.48,128.36,jiangxi
5,1030,3.012837225,444.6916,2.648058926,412,479,15.59,34.65,246.13,24.18,129.77,jiangxi
6,806,2.906335042,444.3396,2.64771502,412,477,19.69,36.09,334.17,26.98,133.05,jiangxi
7,538,2.730782276,443.211,2.646610531,411,476,22.61,37.91,262.31,29.48,203.31,jiangxi
8,350,2.544068044,443.6156,2.64700681,411,477,22.48,37.81,121.01,29.74,232.43,jiangxi
9,238,2.376576957,444.021,2.647403511,410,478,18.2,35.86,107.72,25.99,163.24,jiangxi
10,188,2.274157849,455.925,2.658893407,420,491,11.41,33.19,59.77,20.77,138.44,jiangxi
11,143,2.155336037,431.707,2.635189091,398,467,5.64,28.2,114.68,15.12,104.33,jiangxi
12,94,1.973127854,293.6076,2.467767293,263,324.025,-0.28,21.37,63.92,9.28,99.38,jiangxi
3,13,1.113943352,57.7364,1.761449701,45,71,-15.7,18.76,13.41,0.61,224.91,jilin
4,77,1.886490725,86.578,1.937407549,73,101,-6.3,26.83,21.22,9.11,234.74,jilin
5,150,2.176091259,84.4694,1.926699409,71,98,1.67,32.7,88.29,16.08,238.67,jilin
6,136,2.133538908,81.8648,1.913097205,68.975,96,8.86,32.57,97.67,20.21,224.5,jilin
7,97,1.986771734,84.1442,1.925024186,70,98,13.53,34.12,117.11,23.89,237.15,jilin
8,44,1.643452676,86.3794,1.936410183,72,101,11.39,33.16,175.63,22.17,196.53,jilin
9,22,1.342422681,57.8278,1.76213667,45,71,1.85,28.22,83.37,16.25,222.86,jilin
4,118,2.071882007,92.6886,1.967026322,77,109,-2.14,27.08,26.15,11.47,257.35,liaoning
5,229,2.359835482,136.496,2.135119925,119,154,4.87,31.2,78.55,17.98,274.1,liaoning
6,179,2.252853031,131.8166,2.119970106,115,148,11.93,32.7,70.1,22.05,243.03,liaoning
7,104,2.017033339,131.8716,2.120151276,115,148,16.54,35.03,111.29,25.29,219.03,liaoning
8,60,1.77815125,136.5216,2.135201369,119,154,14.2,33.98,205.58,24.38,210.84,liaoning
9,32,1.505149978,92.6056,1.96663725,77,109,6.28,29.65,51.46,19.15,223.42,liaoning
4,93,1.968482949,97.7148,1.989960347,81,115,-9.27,27.14,13.61,7.39,266.04,neimenggu
5,220,2.342422681,144.778,2.160702573,126,164,-1.5,33.25,29.98,14.69,287.98,neimenggu
6,228,2.357934847,149.687,2.175184084,132,168,5.98,33.5,54,19.57,267.32,neimenggu
7,169,2.227886705,147.7496,2.169526314,131,165,10.78,34.81,88.06,22.58,259.82,neimenggu
8,124,2.093421685,149.4492,2.174493595,132,167,7.59,33.49,84.43,20.16,246.49,neimenggu
9,68,1.832508913,144.337,2.159377674,125,163,-0.77,27.78,44.7,14,230.01,neimenggu
10,29,1.462397998,97.2844,1.988043205,81,114,-10.16,23.15,15.1,4.6,230.67,neimenggu
4,91,1.959041392,89.9922,1.954204869,74,107,-2.43,29.82,13.91,13.11,265.71,ningxia
5,204,2.309630167,132.14,2.121034302,115,150,2.23,32.19,21.74,17.68,284.17,ningxia
6,234,2.369215857,136.9322,2.136505586,120,154,9.73,34,35.67,22.28,271.7,ningxia
7,149,2.173186268,133.6766,2.126055391,117,150,13.73,36.66,49.58,24.49,279.67,ningxia
8,96,1.982271233,136.947,2.136552523,120,154,11.33,34.85,76.02,22.28,236.32,ningxia
9,56,1.748188027,132.1252,2.120985658,114,150,4.82,28.9,35.98,16.85,219.44,ningxia
10,22,1.342422681,90.1868,1.955142978,75,106,-3.34,24.59,21.67,9.24,215.88,ningxia
4,88,1.944482672,139.5794,2.144821327,120,159.025,-9.91,18.6,20.94,3.45,233.15,qinghai
5,233,2.367355921,211.1344,2.324558998,190,232,-4.62,21.4,48.14,7.4,234.38,qinghai
6,314,2.496929648,219.1496,2.340740682,200,238,-0.63,24.1,70.53,11.21,200.22,qinghai
7,258,2.411619706,219.1846,2.340810037,200,239,2.76,25.86,70.17,13.63,233.66,qinghai
8,168,2.225309282,211.2568,2.324810697,191,232,2.4,25.92,75.61,13.49,222.47,qinghai
9,79,1.897627091,139.6952,2.145181484,121,159,-1.79,21.62,55.42,9.11,187.41,qinghai
3,162,2.209515015,301.815,2.47974082,273,332,-2.28,24.54,21.68,9.78,193.13,shaanxi
4,558,2.746634199,449.9134,2.653128928,416,485,3.66,31.18,52.38,15.75,217.21,shaanxi
5,912,2.959994838,453.7512,2.656817787,421,486,8.09,33.82,52.38,19.82,211.68,shaanxi
6,731,2.863917377,447.1706,2.650473242,416,477,14.38,35.48,93.77,23.94,203.52,shaanxi
7,441,2.644438589,447.252,2.650552291,416,478,17.86,36.99,112.49,26.16,219.12,shaanxi
8,254,2.404833717,453.8526,2.656914828,421,487,16.37,35.91,114.84,25.23,214.79,shaanxi
9,147,2.167317335,449.9816,2.653194756,417,483,11.08,31.21,92.63,19.78,147.59,shaanxi
10,101,2.004321374,302.2636,2.480385851,272.975,332,3.27,25.18,63.94,13.11,127.34,shaanxi
3,69,1.838849091,81.2424,1.909782745,66,97,-2.97,23.95,10.05,9.39,228.65,shandong
4,172,2.235528447,120.5536,2.081180184,103,138,2.74,29.47,39.1,14.83,232.5,shandong
5,238,2.376576957,130.2042,2.114624994,114,147,9.37,33.69,44.78,20.7,254.53,shandong
6,180,2.255272505,125.7776,2.099603304,110,142,15.28,35.92,78.18,25.09,239.34,shandong
7,116,2.064457989,125.7932,2.099657165,109,142,19.09,36.17,149.7,26.97,210.17,shandong
8,76,1.880813592,130.0474,2.114101674,113,147,17.55,34.69,189.77,26.32,205.48,shandong
9,41,1.612783857,120.4038,2.080640194,103,138,12.2,32.27,27.87,22.47,204.16,shandong
10,23,1.361727836,80.9778,1.908365974,66,97,3.36,27.59,28.66,15.44,169.89,shandong
3,49,1.69019608,109.6338,2.039944467,92,129,-7.43,24.21,7.32,7.07,224.12,shanxi
4,198,2.29666519,162.3818,2.210537351,142,182,-1.33,31.51,32.82,13.62,234.14,shanxi
5,331,2.519827994,172.465,2.236700973,153,192,4.83,34.8,30.82,19.37,252.08,shanxi
6,280,2.447158031,167.7668,2.224706021,149,186,10.74,35.27,49.33,23.13,230.55,shanxi
7,170,2.230448921,167.7724,2.224720517,149,187,14.83,36,107.31,24.67,225.05,shanxi
8,110,2.041392685,172.6942,2.237277752,153,192,12.53,34.26,100.23,23.37,212.99,shanxi
9,59,1.770852012,162.6162,2.211163808,143,183,6.09,30.68,53.68,18,184.04,shanxi
10,28,1.447158031,109.6698,2.040087051,92,128,-2.43,25.88,45.07,10.77,168.98,shanxi
3,486,2.686636269,647.595,2.811303487,605,691,-0.95,24.17,25.67,9.89,177.45,sichuan
4,1224,3.087781418,949.364,2.977432759,900,999,2.98,27.72,61.79,13.48,192.32,sichuan
5,1910,3.281033367,1009.6646,3.00417713,961,1059,6.86,29.98,99.25,16.78,177.43,sichuan
6,1726,3.237040791,996.4024,2.998434765,951,1043,9.87,31.18,181.68,19.37,153.66,sichuan
7,1119,3.048830087,990.0554,2.995659497,944,1035,12.45,31.35,193.37,20.25,164.68,sichuan
8,688,2.837588438,996.5504,2.998499268,951,1043,12.02,32.12,158.92,20.55,186.98,sichuan
9,476,2.677606953,1010.237,3.004423271,963,1058,9.87,28.89,160.62,17.32,113.39,sichuan
10,340,2.531478917,949.8504,2.97765521,899,1000,4.03,25.33,77.43,13.2,133.23,sichuan
11,229,2.359835482,648.2808,2.811763159,605,692,-1.24,21.56,17.69,8.56,153.65,sichuan
4,64,1.806179974,90.0926,1.95468912,74,106.025,1.33,30.23,8.49,15.54,256.72,xinjiang
5,178,2.250420002,135.1502,2.130816693,117,153,5.56,33.42,12.97,19.79,288.86,xinjiang
6,220,2.342422681,141.4466,2.150592513,125,158,11.27,36.67,17.07,24.77,284.06,xinjiang
7,169,2.227886705,143.511,2.156885191,129,159,14.9,39.18,15.07,26.88,297.67,xinjiang
8,137,2.136720567,141.3644,2.150340054,125,158,12.55,37.15,14.59,24.9,274.52,xinjiang
9,75,1.875061263,135.3062,2.131317697,117,153,5.5,32.59,16.07,18.87,254.43,xinjiang
10,34,1.531478917,90.129,1.954864553,74,106,-3.38,25.11,5.29,9.95,227.76,xinjiang
3,231,2.36361198,349.3366,2.543244089,317,381,-10.58,16.79,17.07,2.16,213.36,xizang
4,548,2.738780558,505.8466,2.704018835,470,542,-5.26,18.79,31.16,6,207.6,xizang
5,904,2.95616843,537.6068,2.730464753,503,574,-1.3,22.1,39.79,9.82,225,xizang
6,928,2.967547976,531.2576,2.725305156,497,566,2.52,25.17,64.31,13.92,208.93,xizang
7,677,2.830588669,533.771,2.727354975,500,566,6.26,25.53,114.18,14.5,179.08,xizang
8,449,2.652246341,531.4858,2.725491666,498,565,5.83,25.26,93.9,14.39,197.95,xizang
9,298,2.474216264,537.702,2.730541652,503,574,3.11,23.6,61.03,12.66,191.56,xizang
10,214,2.330413773,506.2572,2.704371213,470.975,542,-5.01,20.72,16.21,7.44,230.73,xizang
11,134,2.127104798,349.7364,2.543740835,318,381,-9.71,15.62,4.13,2,225.12,xizang
1,353,2.547774705,895.1266,2.951884463,844,946,-0.76,20.78,41.67,9.05,223,yunnan
2,499,2.698100546,1262.6848,3.101294953,1206,1320,1.12,23.13,12.73,10.84,215.77,yunnan
3,1078,3.032618761,1364.5984,3.135004858,1304.975,1424,3.89,26.34,23.43,14,242.49,yunnan
4,2074,3.316808752,1370.134,3.136763044,1312,1428,7.2,28.01,61.91,16.39,208.21,yunnan
5,2795,3.446381812,1370.4794,3.136872512,1314,1426,10.21,29.81,75.21,19.18,211.53,yunnan
6,2476,3.39375064,1373.091,3.137699321,1316.975,1428,14.06,29.99,150.15,20.67,145.62,yunnan
7,1788,3.252367514,1373.228,3.13774265,1317,1430,15.1,29.15,274.49,20.08,108.89,yunnan
8,1317,3.119585775,1370.785,3.136969343,1315,1426.025,14.9,29.72,245.47,20.23,124.21,yunnan
9,1028,3.011993115,1370.9642,3.137026114,1314,1430,13.56,28.16,145.9,19.4,127.56,yunnan
10,794,2.899820502,1366.0464,3.135465451,1308,1426,8.49,26.55,96.87,16.65,164.46,yunnan
11,613,2.787460475,1263.1948,3.101470329,1205,1322,3.65,23.82,31.79,12.93,212.88,yunnan
12,461,2.663700925,895.6674,2.952146767,844,948,0.1,20.96,14.95,9.85,211.19,yunnan
3,206,2.31386722,265.8882,2.424699064,238,294,3.41,25.7,129.57,12.48,113.84,zhejiang
4,603,2.780317312,396.5948,2.598347016,365,428,7.62,29.96,122.88,17.31,139.81,zhejiang
5,800,2.903089987,400.126,2.602196773,369,431,13.55,32.7,138.45,21.88,135.03,zhejiang
6,637,2.804139432,389.194,2.590166136,360,420,17.94,35.71,242.46,24.97,98.95,zhejiang
7,415,2.618048097,384.4294,2.584816594,354.975,414,22.47,37.54,167.82,28.43,183.9,zhejiang
8,259,2.413299764,388.965,2.589910524,359,419,22.57,37.35,215.23,29.02,207.93,zhejiang
9,153,2.184691431,399.7414,2.601779129,368.975,430,18.5,34.72,202.6,25.33,137.81,zhejiang
10,121,2.08278537,396.276,2.597997771,364,429,12.24,31.3,89.89,20.8,129.34,zhejiang
11,93,1.968482949,265.7852,2.424530794,237,294,6.6,27.29,98,15.95,88.47,zhejiang
